ITEM #,ITEM DESCRIPTION,ITEM PRICE
13252152,PLATE TUBULAR 6 HOLE            71130306,269.50 
13252153,INTERFIT ACETABULAR PLATE 52    71336052,"5,424.87 "
13252154,LINER ACETABULAR 32MM           71333334,"3,699.43 "
13252155,FEMORAL HEAD OXINIUM            71343212,"5,720.13 "
13252156,PLATE TUBULAR 1/3 7 HOLE        71829437,182.35 
13252157,CORTICAL SCREW 3.5 X 10         71804010,55.30 
13252158,CORTICAL SCREW 3.5 X 14         71804014,55.30 
13252159,CORTICAL SCREW 3.5 X 55         71804055,55.30 
13252161,SCREW SELF TAP CORTEX 4.5X40    71827040,215.25 
13252187,SCREW CANN LCK 5.7X25           71828025,427.00 
13252188,SCREW CANN LCK 5.7X30           71828030,427.00 
13252194,SCREW CANN LCK 5.7X60           71828060,427.00 
13252195,SCREW CANN LCK 5.7X65           71828065,427.00 
13252196,SCREW CANN LCK 5.7X70           71828070,427.00 
13252197,SCREW CANN LCK 5.7X75           71828075,427.00 
13252198,SCREW CANN LCK 5.7X80           71828080,427.00 
13252216,DRILL BIT 3.5MM        71173505,166.60 
13252217,DRILL BIT 4.5MM        71173506,166.60 
13252220,DRILL BIT SHORT 4.5MM      71173507,147.00 
13252222,PLATE 4.5MM LOCKING 6 HOLE   71829306,616.00 
13252223,PLATE 4.5MM LOCKING 8 HOLE   71829308,799.75 
13252230,PLATE NARROW 4.5MM 6 HOLE    71829456,234.51 
13252246,PLATE FEMUR DISTAL LCK 10/H L   71820010,"2,450.01 "
13252255,PLATE TIBIAL LCK 6/HOLE L       71820206,"2,566.41 "
13252256,PLATE TIBIAL LCK 8/HOLE L       71820208,"2,598.09 "
13252257,PLATE TIBIAL LCK 10/HOLE L      71820210,"2,629.77 "
13252269,PLATE COMPRESSION 5 HOLE 3.5   71829405,203.01 
13252270,PLATE COMPRESSION 6 HOLE 3.5   71829406,217.00 
13252271,PLATE COMPRESSION 7 HOLE 3.5   71829407,224.01 
13252279,PLATE TUBULAR OBLIQUE 3HOLE    71829613,323.76 
13252285,PLATE COMP LOCKING 6 HOLE      71829706,469.00 
13252286,PLATE COMP LOCKING 10 HOLE     71829710,547.75 
13252314,SCREW CRTX SELF TAP 3.5X18    71824018,30.87 
13252316,SCREW CRTX SELF TAP 3.5X60    71824060,31.40 
13252317,SCREW CRTX SELF TAP 3.5X70    71824070,31.40 
13252321,SCREW CRTX S/T LCK  3.5X40    71825040,182.01 
13252324,SCREW CRTX S/T LCK  3.5X55    71825055,182.01 
13252330,SCREW CANCEL THREAD 4.0X16     71825216,49.00 
13252335,SCREW CANCEL THREAD 4.0X28     71825230,49.00 
13252357,SCREW CANCEL THREAD 4.0X26     71825326,49.00 
13252371,FEMORAL HEAD 36 +0             71343600,"5,720.47 "
13252372,DRILL FLEXIBLE 25MM             71362925,138.39 
13252373,PLATE TUBULAR                   71130305,165.73 
13252374,SCREW CORTICAL SFTP 3.5 X 12    71149512,62.13 
13252375,SCREW CANN 45 X 6.5         71100045,665.01 
13252376,SCREW CANN 70 X 6.5         121634,665.01 
13252377,SCREW CORT 3.5 X 12        71122012,48.34 
13252378,SCREW CORT 3.5 X 14        71122014,48.34 
13252381,SCREW CANN 6.5 X 85        121637,665.01 
13252390,IMPLANT UNIPOLAR 50MM             126650,"1,342.01 "
13252391,SLEEVE UNIPOLAR 12/14 +4        71326604,365.55 
13252392,SCREW CORT SFTP HEX 3.5 x 24    71149524,86.98 
13252393,SCREW CANCELLOUS 4.0            71223018,32.76 
13252394,SCREW CORT 24MM x 3.5           71222024,48.34 
13252396,SCREW CORT 16MM x 3.5           71222016,48.34 
13252397,SCREW CORT 18MM x 3.5           71222018,48.34 
13252398,PIN STEINMAN TYPE E 5/32 X 9    128130,72.35 
13252399,CURETTE RECAMIER UTERINE SZ 8   ER228R,188.19 
13252400,PLATE 3 SLOT 135 DEG            71161353,"1,375.23 "
13252401,KIT HIP PREP                121010,611.88 
13252402,SYNERGY HIP STEM SZ15      71316015,"9,177.36 "
13252416,TRAY BONE MARROW JAMSHIDI        BAK4511,142.62 
13252417,ELECTRODE LOOP           WA22037C,370.55 
13252418,ELECTRODE ROLLER BALL        WA22038C,385.88 
13252419,SLEEVE IM HIP SCREW          HN1200,606.48 
13252420,NAIL 130 DEG 14X19.5R          71683014R,"3,072.30 "
13252699,BAG URINE METER  350CC     153214A,29.51 
13252700,PACK CONSUMABLES OEC UROVIEW   E9100BH,29.14 
13252701,KIT SEEDNET ICEROD PROSTATE FPRPR3070,"12,249.30 "
13252703,SENSOR SEEDNET THERMAL     FPRPR3012,347.29 
13252704,BIOPSY PUNCH 3MM      33-32,5.46 
13252705,KIT RENAL CRYONEEDLE PROC      FPRPR3021,"15,400.00 "
13252706,SUTURE VICRYL 2-O                  J775D,26.07 
13252709,CORKSCREW BIO 5.0MM ANCHOR SUTUR AR1920B,426.67 
13252710,CORKSCREW BIO 6.5MM ANCHOR SUTUR AR1925B,426.67 
13252711,SUTURE ETHILON 6-0                  697G,14.75 
13252712,CATH FOLEY 3 W 24FR WHISTLE TIP  0132L24,94.08 
13252713,SUTURE TI-CRON BLUE 30 T-56 #88863113-71,13.34 
13252714,SUTURE FIBER WIRE #AR-7200,31.55 
13252715,BIOPSY PUNCH 2MM                   33-31,5.46 
13252716,GLOVE EDEMA OPEN FINGER XS RT A571-200,20.90 
13252717,GLOVE EDEMA OPEN FINGER SM RT  A571-202,20.90 
13252718,SET COOK-COPE LOOP NEPH.10FR  085010-S7,351.28 
13252720,CATHETER SUCTION REPLACE CATH  SON220074,15.02 
13252721,SUTURE VICRYL 1-0                  J959H,7.99 
13252722,SUTURE ETHLON BLK MONO 3-0          669H,5.99 
13252723,SUTURE VICRYL 1 27                 J535H,11.58 
13252724,SUTURE SILK 5-0                    K870H,6.17 
13252725,COLLAR CERVICAL PHILADELPHIA SM  1741-05,66.94 
13252726,COLLAR CERVICAL PHILADELPHIA MED 1741-06,66.62 
13252727,COLLAR CERVICAL PHILADELPHIA LG  1741-07,66.94 
13252729,COLLAR EXTENDERS  418,6.93 
13252730,TIP FLEXIBLE RADIAL DEBRIDMENT PULSAVAC,62.62 
13253000,PACK NEURO MEDLINE             DYNJQ0092,732.48 
13253001,LIGACLIP APPLIER SNGLCLIP  LX105 BECKER,551.41 
13253002,LIGACLIPS TITANIUM  LT100 ETHICON BECKER,7.88 
13253003,KIT TRANSTIBIAL ACL DISP  # AR-1897S,"1,196.21 "
13253005,CATH FOLEY 3 W 5CC 24FR        01194L24,94.08 
13253006,GLOVE EDEMA OPEN FINGER SM LFT A571-203,20.90 
13253008,COBAN 1   LATEX FREE     2081,4.78 
13253009,GLOVE EDEMA OPEN FINGER XS LEFT A571-201,20.90 
13253010,SUTURE VICRYL 0  CP-1  J267H,8.38 
13253011,DRESSING DUODERM 4X4              187660,15.28 
13253015,CEMENT BONE ZIMMER DOUGH-TYPE   1102-012,368.73 
13253016,STERI STRIP 1/8                    R1540,17.59 
13253017,"COIL, STONE CONE RETRIEVAL NITINOL",791.07 
13253019,DRESSING NASAL MEROCEL 2000 8CM W/STRING,31.66 
13253020,TUBES EAR 1.27MM SHEEHY TYPE   10-28040,38.59 
13253021,SPLINT THERMA SMALL NASAL     15-29000,47.46 
13253022,SPLINT THERMA MEDIUM NASAL    15-29010,47.46 
13253023,SPLINT THERMA LARGE  NASAL    15-29020,47.46 
13253026,CAUTERY TIP ELECTRODE INS BLADE E1455,20.06 
13253027,STOCKING KNEE HIGH XL    553-04,13.23 
13253028,STOCKING KNEE HIGH LARGE 553-03,13.23 
13253029,STOCKING KNEE HIGH MED   553-02,13.23 
13253030,COLLAR CERVICAL SOFT LG   737-04,16.49 
13253032,STERI STRIP 1 X 5    R1548,7.51 
13253033,CATH FOLEY 3 W 30cc 18FR      0167SI18,44.05 
13253035,DBX BONE PUTTY 1/2 CC   038005,331.85 
13253036,SUTURE VICRYL 4-0 TIES             J633H,24.31 
13253037,SUTURE ETHIBOND 1                 X-425H,7.83 
13253038,STAYS SURG. ELASTIC 5MM SHARP    3311-8G,162.07 
13253039,RETRACTOR SURG. DISP. 31.8X18.3   3304G2,162.07 
13253040,DBX BONE PUTTY 5CC   038050,"2,338.40 "
13253041,DBX BONE PUTTY 10CC    38100,"3,607.91 "
13253042,SPONGE PATTIES SURGICAL 1/2X1/2 80-1400,24.68 
13253043,SPONGE PATTIES SURGICAL 3/4X3/4 80-1401,24.68 
13253047,CEMENT BONE HOWMEDICA 6191-1-010,378.16 
13253051,BLADE INFERIOR TURBINATE 2.9MM 18-82940,399.37 
13253052,BLADE TRI-CUT STRAIGHT 4.0 18-84004,419.06 
13253056,CORD CLAMP REMOVER CLIPPER         5407V,23.10 
13253057,DILATERIA CERVICAL DILATOR MED THK  220,42.42 
13253058,DRAPE U-DRAPE  3M        1015,12.50 
13253061,STAPLER HEMORRHIOD    PPH01,"1,408.42 "
13253063,TUBE MAGNAPORT G-TUBE PEG 18FR  51362,108.15 
13253064,TROCAR SRUCTURAL BALLOON HERNIA OMST10SB,542.43 
13253065,CANNULA TWIST PURPLE  AR-6570,87.50 
13253067,TUBE MOSS VIVONEX NASOGASTRIC DECOMPRES,38.59 
13253068,RELOAD LINEAR CUTTER BLUE 45MM  TR45B,364.38 
13253069,RELOAD ENDO LINEAR WHT 45MM        TR45W,516.31 
13253070,CUTTER ARTIC LINEAR 45MM           ATW45,"1,131.88 "
13253071,CUTTER ENDOCUTTER FLEX LONG SHAFT  ATB45,"1,131.88 "
13253074,SUTURE SILK 3-0 18                  M23T,28.61 
13253076,MESH KUGEL SMALL OVAL 8X12 PATCH 0010101,889.46 
13253077,MESH KUGEL SMALL CIRCLE 8X8PATCH 0010103,"1,022.60 "
13253078,MESH KUGEL MED  OVAL 11X14 PATCH 0010105,"1,063.07 "
13253079,MESH KUGEL LG.  OVAL 14X18 PATCH 0010102,"1,306.20 "
13253080,ELECTRODE L-HOOK  5600160,156.50 
13253081,ELECTRODE CORBITT SPATULA    5600180,156.50 
13253082,TUBING X-STREAM SMOKE EVAC W/TIP 5552000,194.09 
13253083,MESH COMPOSIX E/X  4X6  0123460,"1,516.52 "
13253084,MESH COMPOSIX E/X  7X9  0123790,"4,236.91 "
13253085,MESH COMPOSIX E/X  6X8  0123680,"3,198.93 "
13253086,MESH COMPOSIX E/X  8X10 0123810,"5,286.49 "
13253087,MESH COMPOSIX E/X 10X13 0123113,"6,687.19 "
13253088,ENDOCLIP II MED/LG 10MM AUTOSUTR 176657,851.03 
13253089,ENDOCLIP 5MM AUTOSUTURE  176620,"1,181.72 "
13253090,TROCAR THORACAPORT  5MM 179305,161.65 
13253091,TROCAR THORACAPORT 11/12MM 179303,161.65 
13253092,TROCAR THORACAPORT 10MM 179301,161.65 
13253093,SUTURE SURGIDAK W/GS21 NDL    8886309071,10.40 
13253095,STENT URETERAL SET 8X22  180-241,567.24 
13253096,STENT URETERAL SET 8X24  180-242,567.24 
13253097,BASKET STONE GEMINI 5 330-212,644.69 
13253098,STENT URETERAL MARDIS VARIABLE 4.8X24-30,535.05 
13253099,SHEARS HARM SCALP COAG LCSC5,"1,382.64 "
13253100,SUTURE ENDO STITCH SURGIDAC 0 7  173026,120.44 
13253101,SUTURE ENDO STITCH SURGIDAC 2-0 7 173021,120.44 
13253102,SUTURE ENDO STITCH SURGIDAC 0 48  173024,120.44 
13253103,SUTURE ENDO STITCH SURGIDAC2-0 48 173023,120.44 
13253104,SUTURE ENDO STITCH SURGIDAC2-0 48  VIO,120.44 
13253105,ENDO STITCH 10MM SUTURING DEVICE  173016,650.69 
13253106,SUTURE SILK 2-O                     685G,5.83 
13253108,SUTURE ETHILON 5-O 18              1865G,16.28 
13253113,CAUTERY TIP LOW TEMP BATT/DISP 65410-010,64.84 
13253114,SHEATH URTERAL ACCESS 12F 28CM B7036,347.29 
13253115,SHEATH URTERAL ACCESS 13F 35CM B7016,463.05 
13253116,GUIDEWIRE TRIWIRE 3-IN-1  B8634/B8134,146.63 
13253117,QUICK-VAC MIXING SYSTEM SINGLE 5049-021-,516.13 
13253118,BLADE TRI-CUT STRAIGHT 3.5 18-83504,419.06 
13253119,SLING ARM LG PROCARE     79-84007,13.97 
13253120,SLING ARM MED PROCARE   79-84005,13.97 
13253121,SLING ARM SM  PROCARE           79-84003,13.97 
13253122,TROCAR BALLOON BLUNT TIP OMS-T10BT,455.23 
13253123,TUBING SUCTION OLYMPUS 72-00162-0,82.95 
13253124,TUBING INSUFFLATION OLYMPUS 72-00163-0,48.25 
13253128,STAPLE ENDO GIA RELOAD 30-3.5 030452,838.79 
13253129,STAPLE ENDO GIA RELOAD 45-3.5 030455,871.08 
13253130,STAPLE ENDO GIA RELOAD 45-2.0 030453,871.08 
13253131,STAPLE ENDO GIA RELOAD 45-2.5 030454,871.08 
13253132,STAPLER ENDO GIA 12MM INSTR 030449,840.26 
13253133,STAPLER PROTACK 5MM INSTR 174006,"1,192.54 "
13253136,KONICA 24X30    MGSR2430,163.38 
13253137,KONICA 8X10    MGSR810,119.33 
13253138,PAD BED ALARM SENSOR REPLCMNT   SR75046,180.08 
13253139,SUTURE VICRYL 5-O                  J495G,15.05 
13253140,SUTURE PROLENE 2-0                 8685H,16.91 
13253141,SUTURE VICRYL 3-0                  J332H,6.72 
13253142,SUTURE VICRYL 2-O                  J726D,41.95 
13253143,SUTURE VICRYL 5-O                  J488G,15.05 
13253147,NEEDLE ELECTRODE VALLEYLAB E1552,4.88 
13253148,CATHETER CARDIAC IMA 6F    010026,39.27 
13253149,CANCELLOUS BONE CHIPS 4-10 30CC   08A020,"1,447.04 "
13253150,CANCELLOUS BONE CHIPS 15CC,"1,157.63 "
13253151,SUTURE SILK 3-0                     622H,5.25 
13253154,SPLINT STRIPS ALUMINUM 1/2X9  79-72030,6.20 
13253155,SPLINT STRIPS ALUMINUM 1X18 79-72020,10.60 
13253156,SPLINT STRIPS ALUMINUM 2X18  79-72010,7.14 
13253158,STAPLE ENDO GIA RELOAD 60-3.5   030458,"1,059.87 "
13253159,SPLINT CLAVICLE X-SM            79-85002,45.05 
13253160,SPLINT FINGER CURVED MED        79-71927,4.88 
13253161,POUCH INSTRUMENT SURGI-KIT        SK-400,7.88 
13253162,SURGIFOAM 12-7                      1972,20.95 
13253164,STENT POST URETEROSCOPY 6FR X 95 170-101,227.38 
13253165,STENT POST URETEROSCOPY 7FR X 95 170-102,227.38 
13253167,ENDO CLOSE TROCAR SITE          173022,189.57 
13253169,POUCH INSTRUMENT              DYNJSD1018,7.82 
13253170,PROBE TIPS VTI DOPPLER discontinued item,213.15 
13253173,SUTURE VICRYL 0 18                 J701D,58.64 
13253174,NEEDLE HUBER W/ EXT.SET 19g 1.5 ER ONLY,18.38 
13253175,SUTURE VICRYL 2-0                  J945H,7.55 
13253176,SUTURE VICRYL 3-0 27               J258H,7.00 
13253177,NEEDLE HUBER W/ EXT.SET 19g1  011901,18.38 
13253178,SUTURE VICRYL 2-0 54               J286G,8.38 
13253179,SUTURE VICRYL 3-0 54               J285G,8.38 
13253180,SUTURE VICRYL 4-0 54               J284G,8.38 
13253181,PAD LEGHOLDER DISP ARTHROSCOPIC R-S4133V,64.31 
13253182,CATHETER CARDIAC 5F JL4 SITE SEER 5A0085,79.96 
13253183,CATHETER CARDIAC 5F JR4 SITE SEER 5A0002,79.96 
13253184,CAPSULE PH BRAVO  5/BX  FGS-0312,826.88 
13253187,KONICA LASER    LP 820,394.12 
13253190,CAUTERY TIP ELECTRDE EDGE COATED BLADE,29.40 
13253192,STOCKING KNEE HIGH SM    553-01,13.23 
13253193,PIN STEINMAN 3/32  X 9          12-8091,25.90 
13253194,PIN STEINMAN 9/64  X 9           12-8121,164.43 
13253195,PIN STEINMAN 3/16  X 9           12-8141,42.60 
13253196,ACCU PASS 45 LEFT           7210423,399.00 
13253197,CLEAR TRAC 8.5             72200903,108.50 
13253199,PIN STEINMAN 3/16  X 9           12-8140,72.35 
13253200,PIN STEINMAN 5/32  x 9           12-8130,72.35 
13253355,LOOP VESSEL WHITE    01-1-014,38.06 
13253356,RETRACTOR WOUND MEDIUM            C8302,77.88 
13253357,RETRACTOR WOUND LARGE             C8303,191.10 
13254000,CVP MANOMETER                     43338A,22.94 
13254002,EVACUATED CONTAINER 500ML       S9901-10,11.60 
13254003,EVACUATED CONTAINER 250ML,19.48 
13254005,CATH FOLEY 2 W 30cc 22FR        1768SI22,34.02 
13254006,CATH FOLEY 2 W 30cc 24FR        0166SI24,31.82 
13254007,CATH FOLEY 2 W 30cc 26FR         0166V26,41.90 
13254008,CATH FOLEY 2 W 30cc 30FR         0166L30,31.82 
13254011,CATH FOLEY 3 W 30cc 22FR      0167SI22,73.24 
13254012,CATH FOLEY 3 W 30cc 24FR      0167SI24,73.24 
13254013,CATH FOLEY 2 W 30cc 20FR         0166L20,31.34 
13254014,CATH FOLEY 2 W 5CC 14FR         1758SI14,32.40 
13254015,CATH FOLEY 2 W 5CC 16FR         1758SI16,32.40 
13254016,CATH FOLEY 2 W 5CC 18FR         1758SI18,32.40 
13254017,CATH FOLEY 2 W 5CC 20FR         1758SI20,32.40 
13254018,CATH FOLEY 2 W 5CC 22FR         1758SI22,32.40 
13254019,CATH FOLEY 2 W 5CC 24FR         1758SI24,32.40 
13254020,CATH FOLEY 2 W 5CC 26FR          0165L26,52.87 
13254021,CATH FOLEY 2 W 5CC 28FR          0165L28,52.87 
13254022,CATH FOLEY 2 W 5CC 5FR            177805,69.51 
13254024,CATH IV CATHLON 16G 1.88          381157,30.82 
13254025,CATH IV CATHLON 18G    3055,30.82 
13254028,CATH IV CATHLON 22G     003050,10.97 
13254029,CATH IV CATHLON 20G     305606,15.44 
13254030,SET IV EXTENSION W/T CONN       11572-18,30.19 
13254031,IMMOBILIZER KNEE 22     79-80380,119.44 
13254032,DRAIN PENROSE 1/2 X 18           0918030,7.67 
13254038,CONNECTOR Y 3 WAY     BXT369Z,6.77 
13254039,SPARC SLING SYSTEM              72403656,"3,482.50 "
13254146,ELECTRODE BALL LEEP 3MM 60-5181-102,48.88 
13254628,ARMBOARD ARTERIAL A LINE        95-985,27.14 
13255000,TUBE STOMACH 16 FR             DYND70486,12.76 
13255002,EXTRA HAND BALLOON      OMS-EH1,581.14 
13255004,ENEMA FLEET PEDIATRIC          20224,5.15 
13255005,CATHETER SUCTION 14            DYND40982,11.71 
13255006,CATHETER SUCTION 6             DYND40986,11.71 
13255007,"NEEDLE, NERVE BLOCK 25G 2         902529",35.00 
13255008,"NEEDLE, NERVE BLOCK 27G 2         902538",42.00 
13255012,SPLINT CLAVICLE SM              79-85003,124.27 
13255013,SHOE POST-OP MEN'S MEDIUM          19214,53.50 
13255014,SHOE POST-OP MEN'S LARGE           19215,53.50 
13255015,SHOE POST-OP WOMEN'S MEDIUM        19211,53.50 
13255016,SHOE POST-OP WOMEN'S LARGE         19212,53.50 
13255019,STAPLE GIA 60 3.8 RELOAD       GIA6038L,458.90 
13255025,CUFF BLOOD PRESSURE #1           MDS9751,34.49 
13255026,CUFF BLOOD PRESSURE #2           MDS9752,34.49 
13255027,CUFF BLOOD PRESSURE THIGH SFT-T1-2A,37.80 
13255029,CATH TROCAR 20    8888-561043,90.56 
13255030,CATH TROCAR 28               8888-561068,90.56 
13255032,GAUZE BOAT 4X4 X-RAY          NON21430LF,10.04 
13255035,SPRAY PERINEAL SENSI-CARE 324509,7.84 
13255036,SPECULUM VAGINAL MED    DYND70420M,10.82 
13255038,SPECULUM VAGINAL LG    DYND70420L,10.82 
13255040,DRESSING SURGICAL ADHESIVE  4X6 NON4311,75.76 
13255041,DRESSING SURGICAL ADHESIVE 8X6 NON4313Z,115.76 
13255042,ARMBOARD IV 1X4        NON24288,17.17 
13255043,ARMBOARD IV 2X6                 NON24297,19.85 
13255044,ARMBOARD IV 3X9 CHILD,19.85 
13255046,DRESSING 2X2 STERILE USE # 1355046,6.72 
13255052,NEEDLE SPINAL 22G 1 1/2     405161,26.88 
13255063,TUBE ENDOTRACH UNCF 2.0   5-10404,26.62 
13255064,TUBE ENDOTRACH UNCF 2.5    5-10405,44.68 
13255065,TUBE ENDOTRACH UNCF 3.0   5-10406,26.62 
13255066,TUBE ENDOTRACH UNCF 3.5    5-10407,26.62 
13255067,TUBE ENDOTRACH UNCF 4.0    5-10408,26.62 
13255068,TUBE ENDOTRACH UNCF 4.5    5-10409,26.62 
13255069,TUBE ENDOTRACH UNCF 5.0   5-10410,26.62 
13255070,TUBE ENDOTRACH UNCF 5.5  5-10411,26.62 
13255073,FEEDING BAG  KANGAROO  773662,21.79 
13255074,CATHETER ROBNEL 16FR              421716,19.85 
13255093,CATH FOLEY 3 W 5CC 18FR          0174L18,73.24 
13255094,CURRETTE QUICK USE            5049-53,74.07 
13255095,ACTICOAT ORTHO DRESSING         66800859,310.00 
13257003,TUBE GASTRIC LAVAGE 28FR  15028,22.63 
13257004,SCREW CORT SFTP HEX 3.5 x 38    71149538,62.13 
13257005,SCREW CANCELLOUS 4.0 X 20       71223020,51.21 
13257006,SCREW CORT 38MM X 3.5           71222038,48.34 
13257007,SCREW CORT 40MM X 3.5           71222040,48.34 
13257008,PATELLA BICONVEX 26MM         74024626,"2,440.20 "
13257009,TIBIA INSERT SZ 3-4 8MM L     71422251,"2,982.00 "
13257010,TIBIAL BASE SZ 3 L MED        71422223,"5,792.50 "
13257011,FEMUR DUECE SZ 5 L         71422205,"20,527.50 "
13257012,GUIDE ROD 600MM         71665026,404.32 
13257013,NAIL HINDFOOT 10 X 16         71701016R,"6,729.81 "
13257014,POLY INSERT 3/4 RT 9 MM      74023231,"4,476.93 "
13257015,TIBIA BASE SZ 4 RT     74022214,"6,041.70 "
13257016,FEMUR JOURNEY SZ 6 RT     74021116,"13,071.73 "
13257017,TIBIA BASE SZ 3 RT     74022213,"6,041.70 "
13257018,FEMUR JOURNEY SZ 4 RT     74021114,"13,071.73 "
13257019,IMPLANT PATELLA 29MM      74024629,"2,440.20 "
13257020,POLY INSERT  SZ 3-4 8MM L     71422255,"2,982.00 "
13257021,TIBIA INSERT SZ 4 RT MED      71422234,"5,792.50 "
13257022,FEMUR DUECE SZ 6 R         71422216,"20,527.50 "
13257024,POLY INSERT 5/6 RT 11MM      74023253,"4,476.93 "
13257025,TIBIA BASE SZ 5R       74022215,"6,041.70 "
13257026,FEMUR JOURNEY SZ 7R    74021117,"13,071.73 "
13257027,PATELLA BICONVEX 26MM         74024623,"2,440.20 "
13257028,POLY INSERT  SZ 3-4 11M L     71422254,"2,982.00 "
13257029,FEMUR DUECE SZ 4 L         71422204,"20,527.50 "
13257030,SYNERGY HIP STEM SZ14      71316014,"9,177.36 "
13257031,SCREW CANN 95 x 6.5               121639,665.01 
13257032,PLATE LOCKING TIBIAL 3.5   71821106,"4,096.41 "
13257033,PASTE BONE VIAGRAF 5CC            717907,"2,625.00 "
13257034,CANCELLOUS CHIPS 30CC             717921,"1,491.00 "
13257035,IMPLANT PATELLA 29MM    71420570,"2,477.37 "
13257036,POLY INSERT  SZ 5-6 9MM       71422266,"2,982.00 "
13257037,TIBIAL BASE SZ 5 R MED        71422235,"5,792.50 "
13257038,FEMORAL STEM 22X160          71424055,"5,372.50 "
13257039,FEMORAL WEDGE 5MM SZ 5/6    71421805,"4,214.01 "
13257040,TIBIAL BASE SZ 5 L          71424005,"10,762.50 "
13257041,POLY INSERT 15 MM SZ 5/6    71420836,"3,948.11 "
13257042,IMPLANT PATELLA 32MM      74024832,"2,440.20 "
13257043,TIBIA INSERT 11MM SZ5/6 L 74023263,"4,476.93 "
13257044,FEMUR SZ6 LT OXINIUM         74021126,"13,071.73 "
13257045,SCREW REFLEC SPHER 25           71332525,595.00 
13257046,ACETABULAR LINING SZ H          71333347,"4,745.31 "
13257047,INTERFIT ACETABULAR 64          71336064,"5,403.13 "
13257048,FEMORAL HEAD 36 +8              71343608,"7,327.05 "
13257049,POLY INSERT 1/2 LT 11MM      74023223,"4,476.93 "
13257050,IMPLANT PATELLA 26         74024826,"2,440.20 "
13257051,TIBIA BASE SZ 1L       74022221,"6,041.70 "
13257052,LEGION OFFSET COUPLER 6MM     71424227,"5,512.50 "
13257053,PRESSFIT STEM - STRT 14X160   71424047,"5,442.51 "
13257054,PRESSFIT STEM - STRT 18X160   71424051,"5,442.51 "
13257055,INSERT ARTICULAR SZ 5-6 11MM 71420832,"3,948.11 "
13257056,LEGION TIBIA BASE SZ 5 R      71424015,"11,095.00 "
13257057,LEGION OXINIUM FEMUR SZ 6 R   71421176,"25,375.00 "
13257058,POLY INSERT 3/4 RT 13MM      74023234,"4,476.93 "
13257059,POLY INSERT 3/4 RT 9 MM      74023233,"4,476.93 "
13257060,SCREW CANN 44 x 4.0               121842,481.47 
13257061,FEMUR JOURNEY SZ 5 RT     74021115,"13,071.73 "
13257062,POLY INSERT 3/4 LT 13MM      74023244,"4,476.93 "
13257063,IMPLANT TIBIAL LT SZ 4  74022224,"6,041.70 "
13257064,SCREW CORT SFTP 4.5 x 26        71129226,52.40 
13257065,SCREW CORT SFTP 4.5 x 28       71129228,52.40 
13257066,SCREW CORT SFTP 4.5 x 46       71129246,52.40 
13257067,SCREW CORT SFTP 4.5 x 48     71129248,52.40 
13257068,SCREW CORT SFTP 4.5 x 50     71129250,52.40 
13257069,SCREW CORT SFTP 4.5 x 52     71129252,52.40 
13257070,SCREW CORT SFTP 4.5 x 54     71129254,52.40 
13257071,SCREW CORT SFTP 4.5 x 56     71129256,52.40 
13257072,POLY INSERT  SZ 3-4  11MM     71422258,"3,132.51 "
13257073,SCREW CANN PART THREAD 4.0 x 60   121860,661.50 
13257074,PLATE RECON 10 HOLE  3.5     71829210,"1,772.30 "
13257075,SCREW CANN PART THREAD 105 x 6.5  121641,665.01 
13257076,SCREW CANN PART THREAD 110 x 6.5  121642,665.01 
13257077,SCREW CANN 6.5 X 115      71100115,665.01 
13257078,OXINIUM HEAD 53MM          71321053,"6,597.51 "
13257079,SCREW CANNULATED 4.0 X 36         121836,481.47 
13257080,SCREW CANNULATED 4.0 X 16        121816,481.47 
13257314,SENSOR SpO2 ADHSV PED MASIMO LNCS 1860,33.20 
13257787,MINI ARC SLING PRECISE       72019101,"5,133.34 "
13257788,MAX CORE BIOPSY                   MC1825,104.54 
13257789,NEBUMASK                       36-1895EA,79.84 
13257790,CIRCUVENT                     26-68-1000,21.67 
13257794,HYBRESIS IONTOPHORESIS       199589-001,25.00 
13257795,IMPLANT MONARCH NASAL           MN46F,"1,032.51 "
13257798,BIVONA FOME TRACH KIT 8           850180,418.78 
13257799,FIBERWIRE #2 W/NEEDLE           AR-7220,68.25 
13257802,CUFF B/P SM ADULT  DURACUFF DUR-A1-2A,34.30 
13257806,STENT URT SILHOUETTE COMFORT  B3837,420.00 
13257807,DRESSING VERSATEL 2X3  MSC1823EPZ,11.43 
13257808,EpiDisc    14-17100,305.00 
13257809,CATHETER CARDIAC MULTI-PAK 3DRC 6FR,231.53 
13257810,CATHETER CARDIAC MULTI-PAK 3DRC 5FR,231.53 
13257811,CATH FOLEY 2WAY 30cc 20FR    0166SI20,44.05 
13257812,SUTURE CHROMIC 2-0             673H,16.80 
13257813,NEEDLE MAYO 1/2 CIRCLE TAPER  216705,15.28 
13257814,PACKING VAGINAL PERINEAL 1-272,13.20 
13257815,*DRESSING MAXORB ALGINATE USE # 13258831,20.50 
13257816,GOWN BAIR PAWS    81003,49.80 
13257824,NEEDLE PAJUNK 21G  W/ TUBING 00115677,30.80 
13257826,NEEDLE PROBLOC 22X50 22/050/PBS $300 min,27.50 
13257830,NEEDLE SPINAL SPROTTE 22GX150 00156-28L,47.50 
13257831,NEEDLE SPINAL 22GX50  00156-81,27.00 
13257832,NEEDLE SPINAL 22GX100  00156-84,27.00 
