CDM,Description,Standard Charge,Surgery Center/Procedure Room Charge,L&D Charge,Supply Charge Range
2100021200,HB CCU PULMONARY CARE," $10,730.00 "," $9,060.00 ",,
2100021300,HB CCU HEART TRANSPLANT," $10,730.00 "," $9,060.00 ",,
2100021400,HB MONITORED CORONARY CARE," $7,880.00 ",,,
22600102,HB  ALLERGY LAB SKIN TEST COCCIDIOIDOMYCOSIS, $40.00 ,,,
22600103,HB  ALLERGY LAB SKIN TEST HISTOPLASMOSIS, $40.00 ,,,
22600104,HB  ALLERGY LAB SKIN TEST MUMPS, $50.00 ,,,
22600105,HB  ALLERGY LAB SKIN TEST TB TUBERCULOSIS INTRADERMAL, $23.00 ,,,
22600107,HB  ALLERGY LAB SKIN TEST CANDIDA, $56.00 ,,,
22600108,HB  ALLERGY LAB SKIN TEST TRYCHOPHYTON, $50.00 ,,,
22600109,HB  ALLERGY LAB SKIN TEST TETANUS, $50.00 ,,,
22600110,HB  ALLERGY LAB ALLERGEN SPEC IGE QUAL MULT1-5 RAST, $200.00 ,,,
22600111,HB  ALLERGY LAB ALLERGEN SPEC IGE QUAL MULT6+ RAST, $200.00 ,,,
22600112,HB  ALLERGY LAB GAMMAGLOBULIN IGE TOTAL, $70.00 ,,,
22600120,HB  ALLERGY LAB SCRATCH TEST ALLERGENS 1-30, $300.00 ,,,
22600121,HB  ALLERGY LAB SCRATCH TEST ALLERGENS 31-60, $200.00 ,,,
22600122,HB  ALLERGY LAB SCRATCH TEST ALLERGENS 61-90, $300.00 ,,,
22600123,HB  ALLERGY LAB SCRATCH TEST ALLERGENS 90+, $400.00 ,,,
22600130,HB  ALLERGY LAB SCRATCH TEST MEDS BIOL 1-5, $160.00 ,,,
22600131,HB  ALLERGY LAB SCRATCH TEST MEDS BIOL 6-10, $210.00 ,,,
22600132,HB  ALLERGY LAB SCRATCH TEST MEDS BIOL 11-15, $160.00 ,,,
22600133,HB  ALLERGY LAB SCRATCH TEST MEDS BIOL 16+, $160.00 ,,,
22600140,HB  ALLERGY LAB ALLERGYTEST INTRADERMAL MEDS BIOL 1-5, $260.00 ,,,
22600141,HB  ALLERGY LAB ALLERGYTEST INTRADERMAL MEDS BIOL 6-10, $400.00 ,,,
22600142,HB  ALLERGY LAB ALLERGYTEST INTRADERMAL MEDS BIOL 11-15, $400.00 ,,,
22600143,HB  ALLERGY LAB ALLERGYTEST INTRADERMAL MEDS BIOL 16+, $400.00 ,,,
22600150,HB  ALLERGY LAB ALLERGYTEST INTRADRM+EXTRACT 1-10, $110.00 ,,,
22600151,HB  ALLERGY LAB ALLERGYTEST INTRADRM+EXTRACT 11-20, $400.00 ,,,
22600152,HB  ALLERGY LAB ALLERGYTEST INTRADRM+EXTRACT 21-30, $400.00 ,,,
22600153,HB  ALLERGY LAB ALLERGYTEST INTRADRM+EXTRCT 1-10, $400.00 ,,,
22600160,HB  ALLERGY LAB ALLERGYTEST INTRADRM DELAY 9+, $39.00 ,,,
22600161,HB  ALLERGY LAB ALLERGYTEST INTRADRM DELAY 9+, $39.00 ,,,
22600162,HB  ALLERGY LAB ALLERGYTEST INTRADRM DELAY 9+, $39.00 ,,,
22600163,HB  ALLERGY LAB ALLERGYTEST INTRADRM DELAY 9+, $39.00 ,,,
22600164,HB  ALLERGY LAB ALLERGYTEST INTRADRM DELAY 9+, $39.00 ,,,
22600170,HB  ALLERGY LAB PATCH OR APPLICATION TEST(S) EACH 1-10, $140.00 ,,,
22600180,HB ALLERGY LAB IMMUNOTHERAPY+PREP SGL AG VIAL, $170.00 ,,,
22600185,HB ALLERGY LAB IMMUNOTHERAPY+PREP MULT AG VIAL, $300.00 ,,,
22600187,HB ALLERGY LAB ANTIGEN THER SVC-5 INSECT VIAL, $110.00 ,,,
22600190,HB  ALLERGY LAB ALLERGYTEST INGESTION CHALLENGE 1ST 120MIN, $591.00 ,,,
22600191,HB  ALLERGY LAB ALLERGYTEST INGESTION CHALLENGE EA ADDL 60MIN, $591.00 ,,,
22600195,HB  ALLERGY LAB RAPID DESENSITZ PROCEDURE/HOUR, $600.00 ,,,
22600199,HB  ALLERGY LAB IMMUNOTHERAPY+SGL DOSE WO PREP, $60.00 ,,,
22610130,HB  ALLERGY LAB TEST VENOM 1-5, $160.00 ,,,
