"Description                             ","Price     "
"VASELINE 1 OZ TUBE 12/BX #8884430200    ","      3.15"
"WOOL LAMBS 100%  1OZ                    ","     18.39"
"DEXT 5% INJ IN WATER 100ML 96/CS 2B0087 ","      5.33"
"DEXT 5% INJ IN WATER 50ML 96/CS 2B0086  ","      5.33"
"SODIUM CHL .9% 100ML MINIBAG 96/CS 2B130","      5.99"
"PERITONEAL DIALYSIS SOLUTION ,PD-2  1.5%","     31.51"
"PERITONEAL DIAL SOLUTION ,2.5%  3.5 CAL ","     31.51"
"PERITONEAL DIALYSIS SOLUTION ,PD-2   4.2","     31.51"
"PERITONEAL DIAL SOLUTION LOW CAL 2.5% 25","     31.51"
"PERITONEAL DIAL SOLUTION LOW CAL 1.5% 25","     31.51"
"PERITONEAL DIAL SOLUTION LOW CAL  4.25% ","     31.51"
"PLASMA LYTE/WATER PH7.4 1000ML 14/CS 2B2","     11.39"
"LACT RINGERS  AND 5% DEXT 500ML 24/CS 2B","      6.26"
"LACT RINGERS  AND  5% DEXT 1000ML 14/CS ","      6.57"
"DEXT 5% .9% SOD CHL 500ML 24/CS 2B1063Q ","      6.12"
"DEXT 5% .9% SODIUM CHL 1000ML 2B1064X   ","      6.66"
"DEXT 5% .2% SODIUM CHL 1000ML 14/CS 2B10","      6.62"
"DEXT 5% .2% SOD CHL 500ML 24/CS 2B1093Q ","      6.12"
"DEXT 5% IN WATER 250ML 2B0062Q 36/CS    ","      5.81"
"DEXT 5% IN WATER 500ML 24/CS 2B0063Q    ","      5.94"
"DEXT 5% IN WATER 1000ML 14/CS 2B0064X   ","      6.39"
"DEXT 10% IN WATER 500ML 24/CS 2B0163Q   ","      7.88"
"DEXT 10% IN WATER 1000ML 14/CS 2B0164   ","      8.42"
"SODIUM CHL .9% 50ML MINIBAG 96/CS 2B1306","      5.33"
"TUBING EVACUATION SMOKE NEPTUNE 10  #070","     63.95"
"SODIUM CHLORIDE .9% INJ 150ML-36/CS 2B13","     15.45"
"LACTATED RINGERS 500ML 24/CS 2B2323Q    ","      5.85"
"LACTATED RINGERS 1000 ML 14/CS-2B2324X  ","      7.56"
"SOD CHL 0.45% INJ 500ML 24/CS 2B1313Q   ","      5.94"
"DEXT 5% .45% SOD CHL 500 ML 24/CS 2B1073","      6.12"
"DEXT 5% .45% SODIUM CHL 1000ML-2B1074X 1","      6.93"
"SODIUM CHLORIDE .9% 250 ML 36/CS 2B1322Q","      5.31"
"SODIUM  CHLORIDE .9% 500ML 24/CS-2B1323Q","      5.58"
"SODIUM CHLORIDE .9% 1000ML 14/CS 2B1324X","      6.98"
"SOD CHL 0.45% IN WATER 1000ML-14/CS-2B13","      6.84"
"RINGERS SOLN 1000ML BAG 2B2304X         ","     13.73"
"BRACE ANKLE STIRRUP AIR SMALL 8.5 #AB236","     55.85"
"BRACE ANKLE STIRRUP AIR ADULT 10 #AB2360","     55.85"
"TRAY FOLEY LUBRICATH 16FR 10/CS         ","     52.90"
"MEPERIDINE,   75MG 1.5ML AMP(*DEMEROL)  ","     76.16"
"MEPERIDINE,   25MG 0.5ML AMP(*DEMEROL)  ","     76.16"
"CHL SODIUM 0.9% 2000ML 6/CS 7972-07     ","     22.64"
"SUFENTANIL, 5ML AMP (>SUFENTA) (10/CN)  ","     58.20"
"CHL SODIUM 0.9% 3000ML # 7972-08        ","   4550.00"
"MEPERIDINE,SYRUP  50MG/5ML 30ML (>ROXANE","     33.60"
"DEMEROL 10MG/ML PRES FREE               ","    161.28"
"MORPHINE SULFATE 1MG/ML 100ML PREMIX    ","    114.72"
"PERCOCET 10MG/325MG TAB                 ","     22.40"
"HYDROCODONE   2.5MG W APAP 500,(>QUALITE","     22.40"
"OXYCODONE W APAP, 5/500MG CAP           ","     22.00"
"OXYCODONE  W APAP, 5/325MG TAB(>MIDLOTHI","     20.00"
"DRONABINOL, 5MG CAP (*MARINOL)          ","     43.23"
"MORPHINE SO, 60MG CONTROLLED RELEASE TAB","     20.00"
"DRONABINOL, 2.5MG CAP (>AMER HEALTH)    ","     75.57"
"SUFENTANIL, 1ML AMP (*SUFENTA)  (10/CN) ","     28.81"
"FENTANYL,  0.05MG/ML  2ML VIAL(>ABBOTT) ","     20.00"
"MEPERIDINE, 10MG/ML  30ML VIAL (>HOSPIRA","     44.80"
"MORPHINE SO, 15MG CONTROLLED RELEASE TAB","     20.00"
"METHADONE, 5MG/5ML  SOLN (>ROXANE)      ","     22.40"
"COCAINE, 10% 4ML TOPICAL SOLUTION (#NONE","     55.91"
"HYDROCODONE W HOMATROPINE, TAB (#NONE)  ","     33.60"
"MORPHINE SO, 100 MG /10ML VIAL(>DC'D)   ","     25.86"
"COCAINE,   4% 4ML TOPICAL SOLUTION (1/EA","    960.82"
"OXYCODONE ,IR 5MG TAB (>MAJOR)          ","     20.00"
"FENTANYL,PATCH  25MCG/HR (>PAR PHARM)   ","     67.20"
"TESTOSTERONE,  1%  5GM  GEL  (*ANDROGEL)","     39.54"
"FENTANYL,PATCH 100MCG/HR (>PAR PHARM)   ","     49.70"
"FENTANYL,PATCH  75MCG/HR(>PAR PHARM (5/C","     34.41"
"BELLADONNA & OPIUM,SUPP 15A (16.2/30MG) ","    131.17"
"METHADONE, 10MG TABLET  (>MALLINCKRODT) ","     20.00"
"BELLADONNA & OPIUM,SUPP 16A (16.2/60MG) ","    113.00"
"FENTANYL,PATCH  50MCG/HR (>APOTEX)  (5/C","     98.50"
"MORPHINE SO,100MG CONTROLLED RELEASE TAB","     20.00"
"MORPHINE SO, 30MG IMMEDIATE REL TAB(>ROX","     22.40"
"MORPHINE SO,1MG/ML 100ML (DO NOT USE!!!)","    117.59"
"HYDROMORPHONE, 10MG/ML 5ML (*DILAUDID HP","     25.50"
"AMOBARBITAL SODIUM, 500MG VIAL (#NONE)  ","     44.35"
"OXYCODONE CR, 10MG TAB (*OXYCONTIN)     ","     20.00"
"REMIFENTANIL, 2MG VIAL (*ULTIVA)        ","    176.85"
"REMIFENTANIL, 5MG VIAL (*ULTIVA)        ","    326.84"
"AMPHETAMINE, MIXTURE 10MG TAB (>TEVA)   ","      3.25"
"HYDROMORPHONE, 10MG/ML 1ML  (*DILAUDID H","     15.00"
"CODEINE, 60MG 1ML TUBEX (#NONE)         ","     22.40"
"MIDAZOLAM,SYRUP 2MG/ML 118ML (>PADDOCK) ","      8.96"
"MORPHINE SO,PF  500MG/20ML 20ML(*INFUMOR","     17.92"
"HYDROCODONE  10MG W APAP 500, (*LORTAB 1","     22.40"
"MEPERIDINE, 10MG/ML 100ML PCA IPUMP BAG(","     81.72"
"MODAFINIL, 200MG TAB (>TEVA)            ","     20.00"
"CODEINE,  30MG TAB                      ","     33.60"
"HYDROCODONE W IBUPROFEN, 7.5/200MG(*VICO","     20.00"
"AMPHETAMINE,MIXTURE 5MG TAB             ","      3.25"
"OXYCODONE CR, 20MG TAB (*OXYCONTIN)     ","     29.57"
"METHADONE,  5MG TABLET (>MALLINCKRODT)  ","     16.13"
"MEPERIDINE,SYRUP 50MG/5ML 5ML UD (>ROXAN","     20.00"
"MEPERIDINE,   50MG 1ML AMP (*DEMEROL)   ","     20.00"
"MEPERIDINE,  100MG 1ML AMP (*DEMEROL)   ","     20.00"
"MEPERIDINE,    50MG TAB (>EPIC PHARMA)  ","     20.00"
"MORPHINE SO,   2MG/ML 1ML SYRINGE       ","     20.00"
"MORPHINE SO,   4MG/ML 1ML SYRINGE       ","     20.00"
"MORPHINE-SO,ORAL SOLN  10MG/5ML 500ML BU","     33.60"
"HYDROMORPHONE ,  2MG TAB (*DILAUDID)    ","     20.00"
"MORPHINE-SO,ORAL SOL 10MG/5ML 5ML UNIT D","     20.00"
"HYDROMORPHONE , 2MG 1ML AMP PF          ","     22.40"
"HYDROCODONE   5MG W APAP 500,(>AMER HLTH","     22.40"
"HYDROCODONE-ACETAMINOPHEN,7.5/500MG     ","     22.40"
"AMPHETAMINE XR, MIXTURE 30MG (>BARR LABS","     21.18"
"MORPHINE SO,  25MG/ML 10ML VIAL (>HOSPIR","     18.18"
"MORPHINE,EPIDURAL   1MG/ML   10ML AMP   ","     54.00"
"NPLATE, 250MCG PF VIAL(>ROMIPLOSTIM(#NON","   3770.20"
"NASONEX, 50MCG NASAL SPRAY(:MOMETAS FURO","    763.00"
"MORPHINE SO,  5MG SUPP  (#NOT STOCKED)  ","     33.60"
"MORPHINE SO, 10MG SUPP                  ","     33.60"
"MORPHINE SO, 20MG SUPP                  ","     40.32"
"SUFENTANIL, 2ML AMP (>HOSPIRA) (10/CN)  ","     34.66"
"METHYLPHENIDATE SR, 20MG TAB(*METHYLIN E","     33.60"
"FENTANYL, 0.05MG/ML 20ML AMP (>WEST WARD","     52.64"
"HYDROCODONE W HOMATROPINE,BULK INTO 5MLU","     20.00"
"ROMIPLOSTIM, 250MCG PF VIAL(*NPLATE(#NON","   4262.27"
"MORPHINE,EPIDURAL   0.5MG/ML 10ML       ","     75.00"
"MORPHINE SO, 30MG CONTROLLED RELEASE TAB","     20.00"
"HYDROMORPHONE ,  4MG TAB (>ROXANE)      ","      3.25"
"DEMEROL,   25MG 0.5ML AMP(:MEPERIDINE)  ","     22.40"
"DEMEROL,   50MG 1ML AMP (:MEPERIDINE)   ","     22.40"
"DEMEROL,   75MG 1.5ML AMP (:MEPERIDINE) ","     22.40"
"LORAZEPAM,2MG/ML 10ML VIAL (>INTL MED SY","     28.00"
"MORPHINE SO, IMR 15MG TAB               ","     20.00"
"MORPHINE SO,   8MG VIAL (>FRESENIUS)    ","     22.40"
"MORPHINE SO,  10MG/1ML SDPF VIAL (>FRESE","     20.00"
"MORPHINE SO,  15MG VIAL                 ","     22.40"
"OXYCODONE CR, 80MG TAB (*OXYCONTIN)     ","     68.00"
"OXYCODONE  W ASA, 325MG TAB             ","     22.40"
"FENTANYL,  0.05MG/ML 5ML AMP (>HOSPIRA) ","     20.00"
"OPIUM TINCTURE DEODORIZED,BULK BTL 118ML","     10.00"
"HYDROCODONE W CHLOR, SUSP 30ML(>PAR PHAR","     33.60"
"ACETAMINOPHEN W COD 300/30MG,#3 TAB     ","     20.00"
"ATOMOXETINE, 40MG CAP (*STRATTERA)      ","     23.94"
"DOXEPIN HCL,  10MG CAP (>UD LABS)       ","     12.00"
"DOXEPIN HCL,  25MG CAP (>MAJOR LABS)    ","     12.00"
"DOXEPIN HCL,  50MG CAP (>UDL)           ","      3.25"
"ACETYLCYSTEINE SOLUTION, 20% 30ML (>AM R","     62.29"
"IMMUNE GLOBULIN,I.V.  3GM VIAL (*CARIMUN","   1008.00"
"SENNA W DOCUSATE, SOD 50MG TAB (>MAJOR) ","      8.96"
"ROSUVASTATIN,20MG TAB(*CRESTOR)(NON-FORM","     28.46"
"PREDNISONE,  1MG TABLET  (>ROXANE)      ","      8.96"
"TEL SOLUTION:TETRA 10ML                 ","     22.40"
"XYLOCAINE 2% PLAIN 50ML                 ","     22.40"
"NORPACE CR (disopyramide): 100MG CAP    ","      8.96"
"MAGNESIUM SULFATE,  5GM/10ML VIAL(4.06ME","     12.00"
"DEXAMETHASONE, 0.5MG/5ML SOLN 5ML UNIT D","      8.96"
"CALCIUM CARBONATE,CHEWABLE 500MG  (>GOLD","     12.00"
"XYLOCAINE 2% 20MG/ML  5ML AMP           ","     16.13"
"PEMOLINE, 37.5MG TAB (*CYLERT)  (#NONE) ","     33.60"
"INSULIN REGULAR 'PORK', U100   10ML (#NO","     57.26"
"XYLOCAINE 1% PLAIN 50ML                 ","     22.40"
"PROBENECID,500MG TABLET   (>MYLAN)      ","     12.00"
"LIDOCAINE, 2% /EPI 1:100000 1.7ML CARTRI","     20.00"
"LTA II KIT 4% TOPICAL SYRINGE           ","     33.05"
"XYLOCAINE 2% MPF 5ML VIAL               ","     28.00"
"XYLOCAINE 1.5% W/EPI 5ML AMP            ","     22.40"
"CABAZITAXEL, 60MG/1.5ML VIAL (*JEVTANA) ","  10427.00"
"METHYLENE BLUE 1% 1ML VIALS             ","    112.39"
"HEPARINIZED  SALINE ,100U/ML 2ML VIAL(#N","     12.00"
"WATER FOR INJECTION  1000ML             ","     20.00"
"MARCAINE,0.25% /EPI 10ML VIAL (:BUPIVACA","     22.40"
"CLORAZEPATE,  7.5MG TAB  (>MYLAN)       ","      3.25"
"MARCAINE,0.5% /EPI 50ML VIAL (:BUPIVACAI","     28.95"
"CHLORZOXAZONE, 500MG TAB (>WATSON)      ","      8.96"
"GUAIFENESIN ,SYRUP 100MG/5ML  UD (>UD LA","     12.00"
"INSULIN  PER UNIT, HUMAN RECOMB R (REGUL","      3.25"
"MIDAZOLAM, 1MG/ML 5ML VIAL (>WEST WARD) ","     15.00"
"BENICAR, HCT 40-12.5MG (:OLMESARTAN/HCT)","     25.00"
"METHACHOLINE CL, 100MG/5ML VIAL (#NONE) ","    339.36"
"DOBUTAMINE,  500MG IN 250ML D5W (>BAXTER","     44.75"
"DIVALPROEX SOD ER, 500MG TAB (>MYLAN)   ","     12.00"
"ZIDOVUDINE, 100MG CAP (>EDENBRIDGE)     ","      8.96"
"ENALAPRIL W HCTZ, 10-25 (>APOTEX)       ","     12.00"
"PROPRANOLOL ER, 60MG CAP (>ROUSES POINT)","     12.00"
"DEXTROSE,25% IN WATER 10ML SYRINGE      ","     46.64"
"CALAMINE W PRAMOXINE, LOTION 6OZ (*CALDY","      9.22"
"ESTRADIOL, 1MG TAB (>WATSON) (#755)     ","      3.25"
"ALBUTEROL,SOLN FOR INHALATION 20ML (#NON","     28.00"
"ALBUTEROL,SOLN FOR INH 2.5MG/3ML UD  (>N","     12.15"
"FAMOTIDINE, 10MG/ML 2ML VIAL (>APP)     ","     20.00"
"FAMOTIDINE,20MG IN 50ML 0.9% NACL       ","     25.00"
"AZTREONAM,1GM VIAL (*AZACTAM)           ","    172.68"
"IPRATROPIUM, INHALER 12.9GM             ","    995.00"
"METHYLCELLULOSE,ORNG UD PWD (*CITRUCEL) ","      8.96"
"AZTREONAM,2GM VIAL (*AZACTAM)           ","    346.62"
"AZTREONAM,  1GM IN 50ML D5W (*AZACTAM)  ","    222.00"
"CALCIUM CITRATE, 950MG TAB (>MAJOR)     ","      3.25"
"DILTIAZEM  ,90MG TAB (>UD LABS)         ","      8.96"
"GUANFACINE, 1MG TAB (>MAJOR)            ","      3.25"
"KCL, 20MEQ IN 50ML WATER                ","     18.72"
"COLLODION, 2OZ 60ML TUBE(#FLAMMABLE-GIVE","    224.86"
"KCL, 40MEQ IN 100ML WATER               ","     20.00"
"AMINO ACID SOLN 10%,(NO LYTES) 500ML(*TR","    172.48"
"ASPARAGINASE 10,000 UNIT VIAL (*ELSPAR)(","    116.68"
"METOCLOPRAMIDE,SOLN 10MG/10ML 10ML UD(>P","     12.00"
"PHENOBARBITAL,ELIXIR  20MG/5ML   30ML   ","     22.40"
"CYCLOSPORINE, 100MG/ML 50ML LIQ(#ISSUE/1","    174.19"
"TRIMIPRAMINE,  50MG CAP (>ACTAVIS TOTOWA","      8.96"
"HYDROCODONE W HOMATROPINE, 5ML UD(>PHARM","     22.40"
"SODIUM CHL .9% 50ML MINIBAG 96/CS 2B1306","     20.00"
"AMMONIUM LACTATE, 12% LOT 225GM (*AMLACT","     41.00"
"LIDOCAINE,  1%  10ML VIAL   (>FUJISAWA) ","     12.00"
"PHENOBARBITAL, 130MG VIAL               ","     22.40"
"CEFAZOLIN,   1GM IN 50ML D5W (*ANCEF)   ","     36.00"
"VANCOMYCIN , 125MG CAP (*VANCOCIN)      ","     72.70"
"D 5 W,   100ML  BAG                     ","     20.00"
"COSYNTROPIN 0.25MG VIAL (*CORTROSYN)    ","    114.84"
"BLEOMYCIN SUL,15 UNIT (>MAYNE PHARMA)(#N","    455.84"
"TOBRAMYCIN, 40MG/ML 2ML VIAL (>APP)     ","     36.00"
"LIDOCAINE MPF/PF,  1%   5ML VIAL (*XYLOC","     22.40"
"NAFCILLIN SOD., 2GM VIAL  IV/IM  (>WG CR","     51.61"
"EOVIST, 181.43MG/ML 10ML(:GADOXETATE DIS","    875.95"
"MEPHOBARBITAL, 50MG TAB (*MEBARAL) (#NON","     22.40"
"CHLORDIAZEPOXIDE HCL,10MG CAP (>UD LABS)","     12.00"
"CHLORDIAZEPOXIDE HCL,25MG CAP (>UDL)    ","     12.00"
"CHLORDIAZEPOXIDE HCL, 5MG CAP (>UD LABS)","     20.00"
"IMIPRAMINE HCL, 25MG TAB (>GENEVA)      ","     12.00"
"VANCOMYCIN , 250MG CAP (*VANCOCIN)      ","    133.98"
"PROMETHAZINE SYRP W COD, 6.25MG/10MG 5ML","     12.00"
"DIGOXIN,IMMUNE FAB (>BTG INTL)          ","   9608.82"
"NYSTATIN  AND  TRIAMCIN, CREAM 15GM (>TA","    320.61"
"OXYBUTYNIN ,5MG TAB (>MAJOR)            ","     12.00"
"HEPATITIS B,IMMUN GLO HUMAN 312U/ML 1ML(","   1012.17"
"NYSTATIN & TRIAMCIN, OINT 15GM (>TARO)  ","     12.00"
"TRIMETHOPRIM/ SULFA DS, 160MG/800MG (>UD","     12.00"
"MIRTAZAPINE,15MG SOLTAB (>ACTAVIS PHARMA","     12.00"
"FLUOROMETHOLONE, 0.25% OPHTH 5ML (#NONE)","     57.25"
"WARFARIN SODIUM, 7.5MG TAB (*COUMADIN)  ","     12.00"
"SODIUM CHLORIDE,  0.9%  100ML BAG       ","     20.00"
"VITAMIN D,400U/ML 50ML DROP(*ENFAMIL D-V","     27.81"
"WATER FOR INJECTION 50ML VIAL   (>AMER R","     22.40"
"LITHIUM CARBONATE ER, 450MG TAB (>MYLAN)","     12.00"
"PREGABALIN,  25MG   CAP  (*LYRICA)      ","     14.00"
"VITAMIN B,COMPLEX HP + C & FE(*STRESSTAB","     12.00"
"BUSPIRONE,  5MG TAB (>TEVA)             ","     12.00"
"HYDROCODONE W CHLOR, SUSP 5ML           ","     20.00"
"SORBITRATE,40MG  SA (:ISOSORBIDE DINITRA","      3.25"
"BUSPIRONE, 10MG TAB (>IVAX)             ","      3.25"
"POTASSIUM CL, 10% 20MEQ/15ML 15ML UD(>PH","     10.00"
"ORAL PROTECTIVE W BENZ,12GM(*ORABASE W B","     15.87"
"SODIUM ACETATE 2MEQ/ML, 20ML            ","     22.40"
"D 2.5% W 0.45% NACL,  500ML             ","     23.13"
"ALBUMIN NORMAL SERUM,25%  50ML          ","    261.34"
"FAT EMULSION, 20% 250ML (*INTRALIPID)   ","     63.30"
"AMANTADINE HCL,50MG/5ML 5ML UNIT DOSE (>","      8.96"
"TERBUTALINE SULFATE,1MG/ML 1ML (>APP)   ","     20.00"
"HEPATITIS B,IMMUN GLO HUMAN 312U/ML 5ML(","   1558.32"
"HYDROCORTISONE, 1% OINT 30GM(>WATSON)   ","     27.28"
"SALT TABLETS, 1GM (:SODIUM CHLORIDE)    ","      3.25"
"ESMOLOL, 250MG/ML 10ML AMP (#DISCONTINUE","    394.18"
"OPHTMALMIC LUBRICANT,PF  1 UD         (*","      3.25"
"CHLORTHALIDONE , 25MG TAB (>UD LABS)    ","     12.00"
"PHENOBARBITAL,   32.4MG TAB (>QUALITEST)","     20.00"
"POVIDONE IODINE,SOLN 15ML (*BETADINE)   ","      4.35"
"POVIDONE IODINE,SOLN SWAB AID (*BETADINE","     12.00"
"POVIDONE IODINE,SOLN SWAB STICK 1'S(>DYN","      8.96"
"POVIDONE IODINE,AEROSOL SPRAY 3OZ (#NONE","     11.94"
"PHENOBARBITAL,  100MG TABLET            ","     10.00"
"BACLOFEN, 10MG TAB (>AMER HLTH)         ","     12.00"
"HYDROCORTISONE, 2.5% CRM 30GM  (>FOUGERA","     50.40"
"PHENOBARBITAL,   64.8MG TAB (>QUALITEST)","     20.00"
"TEMOZOLOMIDE,   5MG CAP (>MERCK)        ","     30.53"
"POVIDONE IODINE,SKIN CLEANSER 4OZ(>APLIC","     22.40"
"PHENOBARBITAL,   16.2MG TAB (>MCKESSON) ","      3.25"
"CLORAZEPATE,  3.75MG TAB (>TARO)        ","     33.60"
"EMPTY EVACUATED BOTTLE, 500ML           ","     38.91"
"ENOXAPARIN,150MG SYRINGE (*LOVENOX)     ","    155.94"
"MIDAZOLAM, 5MG/ML 1ML VIAL (>AKORN)     ","     15.00"
"CROMOLYN, INHALER (*INTAL)              ","    634.00"
"HALOPERIDOL,CONC 2MG/ML 120ML  (>PA)    ","      8.96"
"LEVOTHYROXINE,150MCG TAB(0.15MG)(>ABBVIE","     12.00"
"DOBUTAMINE,  250MG IN 250ML D5W (>BAXTER","     31.05"
"POTASSIUM  CL, S.R. 20MEQ TAB (*KLOR-CON","      8.96"
"MICONAZOLE, 2% POWDER 2.5OZ(#CD ITEM)   ","     13.02"
"VERAPAMIL  SR,240MG TAB (>AMER HLTH)    ","     12.00"
"VANCOMYCIN HCL, 1GM VIAL (>HOSPIRA)     ","     25.54"
"SECOBARBITAL, 100MG CAP (#NONE)         ","     22.40"
"ETOMIDATE, 2MG/ML 10ML VIAL (>BEDFORD)  ","     33.33"
"DAUNORUBICIN, 20MG VIAL (*CERUBIDINE)   ","     94.88"
"DROPERIDOL,2.5MG/ML 1ML AMP (#NON-FORMUL","     12.00"
"HYALURONATE  SOD,0.85ML SYRINGE (*PROVIS","    627.20"
"FAMOTIDINE,  20MG TAB (>MCKESSON)       ","     12.00"
"FAMOTIDINE,  40MG TAB (>CARLSBAD)       ","      3.25"
"MIDAZOLAM, 5MG/ML 2ML VIAL (#NONE)      ","     52.14"
"NITROGLYCERIN, TRANSLINGUAL SPRAY(*NITRO","   1115.00"
"CEFOTETAN,  2GM IN 50ML D5W (*CEFOTAN)  ","    142.92"
"GLIPIZIDE ,10MG TAB (>UDL)              ","      3.25"
"AMIODARONE,   200MG TAB (>MYLAN)        ","     12.00"
"SODIUM POLYSTYRENE SUL,ENEMA 30GM 120ML(","     56.45"
"TRACE ELEMENTS ,5 ADDITIVES 10ML (*MTE-5","     12.00"
"ACETAMINOPHEN , 500MG CAPLET (>MAJOR)   ","      0.90"
"ESTERIFIED ESTROGEN, 0.625MG (*MENEST)  ","      8.96"
"DAPSONE, 25MG TAB  (#102)               ","     14.58"
"CAPTOPRIL W HCTZ, 25/15 TAB (>ENDO) (#NO","      3.25"
"ALCOHOL, RUBBING ETHYL 16OZ             ","     16.68"
"KETOCONAZOLE,CREAM 2% 15GM (>TARO)      ","    136.21"
"ENALAPRIL , 5MG TAB  (>MAJOR)           ","     12.00"
"ENALAPRIL ,10MG TAB  (>MAJOR)           ","      3.25"
"KETOPROFEN, 75MG CAP (>ESI)  (#NONE)    ","      8.96"
"ALBUTEROL, SYRUP 2MG/5ML 5ML UNIT DOSE  ","      8.96"
"ISOSULFAN BLUE, 1% 5ML VIAL(*LYMPHAZURI(","    560.00"
"FLUPHENAZINE HCL,2.5MG/ML 10ML VIAL     ","    554.53"
"GENTAMICIN, 10MG/ML 2ML VIAL (>A P P)   ","     36.00"
"MEXILETINE, 150MG CAP (>TEVA)           ","      8.96"
"INSULIN NOVOLOG MIX 70/30, 3ML FP DO NOT","     40.00"
"TACROLIMUS, 0.5MG CAP (>MYLAN)          ","     12.00"
"THIORIDAZINE , 15MG TAB (>CREIGHTON) (#N","      8.96"
"METHAZOLAMIDE, 50MG TAB (>SANDOZ)       ","     39.11"
"VINCRISTINE,  1MG/1ML 1ML (DILUTE IVPB O","     97.44"
"MEXILETINE, 200MG CAP (>TEVA)           ","     12.00"
"VINCRISTINE,  2MG/2ML 2ML (DILUTED IVPB ","     99.68"
"FLUOCINONIDE ,CREAM 0.05% 15GM(>TARO(#NO","     79.83"
"IOPAMIDOL, 41% 20ML VIAL (*ISOVUE-M 200)","    333.92"
"HALOPERIDOL,DECANOATE 50MG/ML 1ML VIAL  ","    134.40"
"IOPAMIDOL, 61% 15ML VIAL (*ISOVUE-M 300)","    323.84"
"D 20 W, & AMINO ACID 5% 1000ML W/O LYTES","    157.98"
"CLONIDINE ,PATCH 0.1MG(>MYLAN)          ","     94.84"
"DESMOPRESSIN ACE, 4MCG/ML 10ML VIAL (>TE","   1155.17"
"CLONIDINE ,PATCH 0.2MG (>MYLAN)         ","    117.80"
"SODIUM CHLORIDE,  0.9%    10ML VIAL     ","     20.00"
"CYCLOPHOSPHAMIDE,1GM VIAL (>BAXTER)     ","   1321.82"
"THROAT SPRAY, PHENOL 1.4% 6OZ (>MAJOR)  ","     15.19"
"CLONIDINE ,PATCH 0.3MG(>MYLAN)          ","    151.06"
"FLECAINIDE,ACE 100MG TAB (>AMNEAL)      ","     12.00"
"DEXTROSE,10% 5ML AMP (#DISCONTINUED)    ","     12.00"
"IMIPENEM CILASTATIN  IV,500MG VIAL(*PRIM","     54.70"
"SERTRALINE, 100MG TAB (>AMER HLTH PKG)  ","      3.25"
"TRACE ELEMENTS, 5 CONCENTRATE 10ML (#NON","     19.02"
"ASENAPINE, 5MG TAB (*SAPHRIS)(#NON-FORMU","     48.96"
"HEXACHLOROPHENE, 3% 480ML(*PHISOHEX)(#DC","    143.00"
"BUTALBITAL/APAP/CAFF,50/325/40MG TAB(>QU","     20.00"
"METHYL SALICYLATE,LIQ 60ML (*WINTERGREEN","      7.58"
"ACETAMINOPHEN,650MG (10GR) SUPP **PERRIG","     12.00"
"FLUCONAZOLE, 150MG TAB (>GLENMARK)      ","      3.25"
"OLANZAPINE ZYDIS, 15MG TAB (>TEVA)      ","     71.25"
"TRACE ELEMENTS, 5 CONCENTRATE *1ML VIAL*","     22.40"
"PITOCIN, 30 UNIT  500ML 0.9% NACL (:OXYT","     49.59"
"POT & SOD  PHOS, TAB(*PHOSPHA 250 NEUTRA","      8.96"
"VIAFLEX,  150ML EMPTY BAG (#DC'D)       ","     32.26"
"WATER FOR IRRIG. 1000ML U.S.P. VIAFLEX M","     22.40"
"ISONIAZID, 300MG TAB   (#4350)          ","      8.96"
"MEDROXYPROGESTERONE,400MG/ML 2.5ML(*DEPO","    642.18"
"ACETAMINOPHEN ,ELIX  160MG/5ML 30ML(*TYL","      8.96"
"PILOCARPINE, 4% GEL 3.5GM (#DISCONTINUED","    324.00"
"LACOSAMIDE, 200MG TAB(*VIMPAT)(#NONFORMU","     29.44"
"BACITRACIN/NEO/POLY,OINT 1/32OZ (>FOUGER","     12.00"
"EDROPHONIUM ,10MG/ML  15ML VIAL (*ENLON)","    146.09"
"HEPARIN,  25,000U IN 500ML D5W (>B BRAUN","     44.96"
"HALOPERIDOL,   5MG TAB   (>SANDOZ)      ","     12.00"
"BUPIVACAINE,0.25%   50ML VIAL (>APP)    ","     22.40"
"BUPIVACAINE,0.5%  50ML VIAL (>APP)      ","     20.83"
"BUPIVACAINE,0.25% /EPI 50ML VIAL(*SENSOR","     79.09"
"BUPIVACAINE,0.5% /EPI 50ML VIAL (*SENSOR","     24.33"
"IOHEXOL 180, 20ML VIAL (*OMNIPAQUE) (#NO","    107.39"
"ENOXAPARIN,300MG/3ML VIAL (*LOVENOX)    ","    274.72"
"ESTROPIPATE, 1.5MG TAB (#1.25MG ESTRONE)","     12.00"
"IOHEXOL 240, 10ML VIAL (*OMNIPAQUE)     ","     96.63"
"GELATIN, FILM OPHTH 25MM X 50MM (*GELFIL","   1310.20"
"SIMETHICONE,  80MG TABLET (>GOLDLINE)   ","     12.00"
"PANCURONIUM, 2MG/ML 5ML VIAL (#INTUBATED","     22.40"
"RISPERIDONE,CONSTA 25MG KIT (#NON-FORMUL","    557.26"
"CLINDAMYCIN, 300MG/2ML 2ML VIAL (>SAGENT","     14.94"
"CLINDAMYCIN, 600MG/4ML 4ML VIAL (>SAGENT","     20.00"
"IOHEXOL 300,  50ML VIAL(*OMNIPAQUE)     ","     30.98"
"LIDOCAINE, 1.5%/EPI 1:200,000 30ML VL (*","     27.55"
"IOHEXOL 350, 100ML BOTTLE (*OMNIPAQUE)  ","     66.52"
