Hospital Name:  Huntington Memorial Hospital ,,,,,Price Differences:,
OSHPD Facility Number:  106190400,,,,,0,= zero price for pharmacy
"Effective Date of Charges:  June 1, 2018",,,,,blank,= zero price for pharmacy
,,,,,PANEL,= panel
CDM Number,Description,Price,Ref Lab Fee Charge,,STAT,= statistics only
00100001N,ROOM/BED: Extended Recovery/No Charge,STAT,,,,
00100197S,ROOM/BED: Telemetry,3616.85,,,,
00100297R,ROOM/BED: Rehab,3566.39,,,,
00100323X,ROOM/BED: Definitive Observation Unit,7993.49,,,,
00100354D,ROOM/BED: Semi-Private,3536.7,,,,
00100362F,ROOM/BED: Perinatal 1:4,4226.33,,,,
00100362G,ROOM/BED: Perinatal 1:3,6369.45,,,,
00100362H,ROOM/BED: Perinatal 1:2,7256.06,,,,
00100388S,ROOM/BED: Semi-Private,3689.75,,,,
00100396A,ROOM/BED: Nursery,2222.92,,,,
00100396B,ROOM/BED: Nursery  Boarder,2317.04,,,,
001004531,ROOM/BED: Neonatal ICU 1:1,11396.2,,,,
001004532,ROOM/BED: Neonatal ICU 1:2,10655.14,,,,
001004533,ROOM/BED: Neonatal IMCU 1:3,8462.4,,,,
001004534,ROOM/BED: Neonatal CCN 1:4,6678.22,,,,
001004876D,ROOM/BED: Peds Intensive Care 1:1,11390.36,,,,
001004877C,ROOM/BED: Peds Intensive Care 1:2,10649.68,,,,
001004878,ROOM/BED: Peds 1:3 Floor Care,10404.44,,,,
001004879,ROOM/BED: Peds Floor Care,6053.8,,,,
00100770,ROOM/BED: Neuro Stroke Unit 1:3,7993.49,,,,
00100770S,ROOM/BED: Neuro Stroke Unit 1:4,3793.1,,,,
00100877S,ROOM/BED: Chemical Dependency Unit Detox,5443.1,,,,
00100878S,ROOM/BED: Chemical Dependency Unit Rehab,3566.39,,,,
00100900M,ROOM/BED: Isolation,5044.48,,,,
00100901S,ROOM/BED: Semi-Private,3793.1,,,,
00100902B,ROOM/BED: Isolation Telemetry,7993.49,,,,
00100903C,ROOM/BED: Telemetry,6417.19,,,,
00100905C,ROOM/BED: Critical Care 1:1,10790.46,,,,
00100906C,ROOM/BED: Critical Care 1:2,9880.55,,,,
00100907C,ROOM/BED: Critical Care 1:3,7000,,,,
00100908C,ROOM/BED: DMC  Intensive,5441.4,,,,
00100909C,ROOM/BED: DMC  Adult Open,4694.12,,,,
00108520,CONTINUOUS MOTION KNEE,62.71,,,,
00110360,URINE-BAG PREMIE 24 HOUR,6.38,,,,
00114450,TENT O2 STD 12'' CUBE REG4100,54.75,,,,
00116078,KIT C-UTLM-501J,148.85,,,,
00117001,PICC LINE KIT 1.9 NEO,129.34,,,,
00117002,PICC INTRODUCER 1.9 NEO,143,,,,
00117023,VALVE POSIFLO,8.02,,,,
00118211,VALVE TRIFUSE BABY BTF36,12.74,,,,
00118213,VALVE LOPEZ PED,8.67,,,,
00118230,TUBE ENTERNAL FEED EXT,5.08,,,,
00161071,RETAINER VISCERA LG 6.5X10,75.12,,,,
00203472,SAFETY SEAL MIDAS,281.6,,,,
00205314,NEBULIZER NEONATAL KIT,9.62,,,,
00206286,FILTER SMOKE EVAC,25.36,,,,
00214032,Surgery Caselevel:Level 1 OR first 60 min,5262.58,,,,
00214033,Surgery Caselevel:Level 1 OR ea addl 15 min,1315.65,,,,
00214034,Surgery Caselevel:Level 2 OR first 60 min,5539.6,,,,
00214035,Surgery Caselevel:Level 2 OR ea addl 15 min,1384.85,,,,
00214036,Surgery Caselevel:Level 3 OR first 60 min,6155.04,,,,
00214037,Surgery Caselevel:Level 3 OR ea addl 15 min,1538.76,,,,
00214038,Surgery Caselevel:Level 4 OR first 60 min,6479.03,,,,
00214039,Surgery Caselevel:Level 4 OR ea addl 15 min,1619.8,,,,
00214041,Surgery Caselevel:Remote Level 1 OR first 60 min,5040.18,,,,
00214042,Surgery Caselevel:Remote Level 1 OR ea addl 15 min,1093.24,,,,
00214043,Surgery Caselevel:Remote Level 2 OR first 60 min,5317.2,,,,
00214044,Surgery Caselevel:Remote Level 2 OR ea addl 15 min,1162.49,,,,
00214045,Surgery Caselevel:Remote Level 3 OR first 60 min,5932.63,,,,
00214046,Surgery Caselevel:Remote Level 3 OR ea addl 15 min,1316.35,,,,
00214047,Surgery Caselevel:Remote Level 4 OR first 60 min,6256.63,,,,
00214048,Surgery Caselevel:Remote Level 4 OR ea addl 15 min,1397.36,,,,
00214101,SDS Postop 0- 60 minutes,923.36,,,,
00214102,SDS Postop 61 min - 120 min,1296.89,,,,
00214103,SDS Postop 121 min - 180 min,1772.49,,,,
00214104,SDS Postop >181 min,2292.14,,,,
00214105,ANESTHESIA TIME - UP TO FIRST HOUR,2370.91,,,,
00214106,ANESTHESIA TIME - EA ADDL 15 MIN,591.06,,,,
00214201,PACU Recovery Level 1 First 60 min,923.36,,,,
00214202,PACU Recovery Level 1 Addtl 15 min,230.84,,,,
00214203,PACU Recovery Level 2 First 60 min,1296.89,,,,
00214204,PACU Recovery Level 2 Addtl 15 min,324.23,,,,
00214205,PACU Recovery Level 3 First 60 min,1772.49,,,,
00214206,PACU Recovery Level 3 Addtl 15 min,443.12,,,,
00214207,PACU Recovery Level 4 First 60 min,2292.14,,,,
00214208,PACU Recovery Level 4 Addtl 15 min,573.03,,,,
00215012,Cystoscopy Lithotripsy Extracorporeal Shock Wave,13608.68,,,,
00215300,Microwave Thermotherapy Prostate Transurethral - Minor,8083.18,,,,
00220001,Bedside Procedure Limited,2166.46,,,,
00220002,Bedside Procedure Intermediate,3490.41,,,,
00220003,Bedside Procedure Major,5656.87,,,,
00220004,Bedside Procedure Limited Charge,2166.46,,,,
00220005,Bedside Procedure Intermediate Charge,3490.41,,,,
00220006,Bedside Procedure Major Charge,5656.87,,,,
00270170,KIT PERFLUORO LIQ 5ML,825,,,,
00271687,SCARLET RED,8.64,,,,
00273126,COLOSTOMY BRIDGE,16.94,,,,
00273574,TRANSPORTER ACUFEX,1025.01,,,,
00300087,CERVICAL CIRCLAGE INSERT/REMOV,1867.07,,,,
00300129,EMERGENCY D AND C,2714.14,,,,
00300137,Yes - L&D Amniocentesis,824.57,,,,
00300152,POST PARTUM TUBAL LIGATION,2543.55,,,,
00300202,Yes - L&D Non Stress Test OB Triage,677.28,,,,
00300351,DELIVERY ROOM LEVEL II,4607.03,,,,
00300352,DELIVERY ROOM LEVEL III,5567.83,,,,
00300353,C-SECTION LEVEL I,9836.55,,,,
00300354,C-SECTION LEVEL II,10742.3,,,,
00300355,C-SECTION LEVEL III,12533.23,,,,
00300356,C-SECTION LEVEL IV,12553.74,,,,
00300357,OBSERVATION EACH HOUR,146.88,,,,
00300358,ULTRASOUND COMPLETE,1684.15,,,,
00300360,OB MINOR PROCEDURE,396.97,,,,
00300361,DELIVERY ROOM LEVEL I,2929.93,,,,
00300362,DELIVERY ROOM LEVEL IV,8959.91,,,,
00300442,CONTRACTION STRESS TEST BREAST,600.27,,,,
00300467,Yes - L&D Ultrasound 1st Time,1328.35,,,,
00300475,Yes - L&D Ultrasound - Repeat,522.97,,,,
00300483,Yes - L&D Ultrasound 2/D/M Mode,933.21,,,,
00300533,Yes - L&D Ultrasound Scan,650.82,,,,
