HospitalCode,Description,Price
BBH WALKER,trace elements Cr-Cu-Mn-Zn 10 mcg-1 mg- 0.5 mg-5 mg/mL Soln 1 mL Vial,23.75
BBH WALKER,potassium chloride 2 mEq/mL Solp 20 mL Vial,164.60
BBH WALKER,potassium chloride 2 mEq/mL Solp 10 mL Vial,86.35
BBH WALKER,magnesium sulfate 4 mEq/mL (50 %) Soln 2 mL Vial,15.92
BBH WALKER,potassium acetate 2 mEq/mL Soln 20 mL Vial,119.60
BBH WALKER,sodium tetradecyl sulfate 3 % (30 mg/mL) Soln 2 mL Vial,195.89
BBH WALKER,sodium acetate 4 mEq/mL Soln 100 mL Vial,38.61
BBH WALKER,amino acids 8.5 % Solp 500 mL Flex Cont,514.74
BBH WALKER,sodium hyaluronate 10 mg/mL Syrg 0.85 mL Syringe,775.20
BBH WALKER,HC ASSAY RBC CHOLINESTERASE,64.00
BBH WALKER,HC CLOT FACTOR XIII FIBRIN SCRN,128.00
BBH WALKER,HCS IMPLANT DEL SYSTEM DISTAL BICEPS,3743.00
BBH WALKER,HC LACTOFERRIN FECAL (QUAL),182.00
BBH WALKER,HC STREP A ASSAY W/OPTIC,132.00
BBH WALKER,HC RSV ASSAY W/OPTIC,161.00
BBH WALKER,HC INFLUENZA ASSAY W/OPTIC,169.00
BBH WALKER,HC INSITU HYBRIDIZATION MANUAL TC,320.00
BBH WALKER,HC MISC ORTHO/NEURO/HEART CHARGE,0.00
BBH WALKER,HC ASSAY OF PROTEIN CSF XX,194.00
BBH WALKER,HCS DEVCE CLOSURE SKIN ZIPLINE 24CM,338.00
BBH WALKER,HCX PROTEIN ELECT CSF X,0.00
BBH WALKER,HC DX MAMMO INCL CAD UNI,597.00
BBH WALKER,HCS GLIDESCOPE COVER,88.00
BBH WALKER,HC DX MAMMO INCL CAD BI,755.00
BBH WALKER,HC CVS T,1540.00
BBH WALKER,HC SCREENING MAMMOGRAPHY BIL 2-VIEW BREAST INC CAD,675.00
BBH WALKER,HC STAT O/P NEWBORN HEARING SCREEN,0.00
BBH WALKER,HC TRLUML BALO ANGIOP 1ST ART,35353.00
BBH WALKER,HCS PUTTY BONE KIT EQUIVA 2.5M,4090.00
BBH WALKER,HC TRLML BALO ANGIOP OPEN/PERQ IMG S&I EA ADDL ART,35353.00
BBH WALKER,HC TRLUML BALO ANGIOP 1ST VEIN,20950.00
BBH WALKER,HC INSITU HYBRIDIZATION AUTO,427.00
BBH WALKER,HCX STOOL ELECTROLYTES,0.00
BBH WALKER,HC TRLML BALO ANGIOP OPEN/PERQ W/IMG S&I ADDL VEIN,20950.00
BBH WALKER,HCX ENCEPHALTIS EAST EQNE ANBDY X,0.00
BBH WALKER,HCX ENCEPHALTIS WEST EQNE ANTBDY X,0.00
BBH WALKER,HC INTRO CATH DIALYSIS CIRCUIT DX ANGRPH FLUOR S&I,3139.00
BBH WALKER,HCX HISTOPLASMA/BLASTOMYCES PCR X,0.00
BBH WALKER,HCX PHENOSENSE COMBO HIV DRUG RESISTANCE X,0.00
BBH WALKER,HC INTRO CATH DIALYSIS CIRCUIT W/ TRLUML BALO ANGIOPL PERIPH DIAL SEGMENT INCL IMAGING ALL S&I,26600.00
